"code","quest","markerKey","index","objective","type","optional","stringName","english","czech","displayNodes","paths"
"M01","prepadeni","prepadeni","11","blokuj_utoky","Progress","False","prepadeni_blokuj_ptackovi_1jzM","Block attacks.","Blokuj útoky.","1","hibernovana_cast.tabor.serm_s_ptackem.chain_strike_1_1.objectiveVisual3"
"M01","prepadeni","prepadeni","12","odraz_utok_perfektnim_blokem","ProgressFailable","False","prepadeni_odraz_ptackovi__GaXL","Parry an attack with a perfect block.","Odraz útok perfektním blokem.","1","hibernovana_cast.tabor.serm_s_ptackem.chain_strike_1_1_1.objectiveVisual3"
"M01","prepadeni","prepadeni","13","odraz_utok_perfektnim_blokem_a_navaz_ripostou","ProgressFailable","False","prepadeni_odraz_ptackovi__ERtJ","Parry an attack with a perfect block and follow up with a riposte.","Odraz útok perfektním blokem a navaž ripostou.","1","hibernovana_cast.tabor.serm_s_ptackem.chain_strike_1_1_1_2.objectiveVisual4"
"M01","prepadeni","prepadeni","14","zasahni_odkrytou_stranu","Progress","False","prepadeni_zasahni_ptacka__MJLm","Hit his unprotected side.","Zasáhni odkrytou stranu.","1","hibernovana_cast.tabor.serm_s_ptackem.chain_strike_1_1_1_1.objectiveVisual3"
"M01","prepadeni","prepadeni","15","poraz_ptacka_v_duelu","Challenge","False","prepadeni_poraz_ptacka_v__250x","Defeat Sir Hans in a duel!","Poraž Ptáčka v duelu!","1","hibernovana_cast.tabor.serm_s_ptackem.duel_ptacek_vs_jindrich.objectiveVisual28"
"M01","prepadeni","prepadeni","16","eatWithOthers","Progress","False","mq01__pre_eatwithothers_G1kB","Sit down by the fire.","Posaď se k ohni.","1","hibernovana_cast.tabor.combat_s_ptackem_1_1.objectiveVisual2"
"M01","prepadeni","prepadeni","17","crouch","ProgressFailable","False","mq01__pre_crouch_GayI","Crouch down in the reeds.","Přikrč se v rákosí.","1","hibernovana_cast.smirovani.hrac_a_ptacek_se_krci.objectiveVisual8"
"M01","prepadeni","prepadeni","18","opatrne_nasleduj_ptacka_po_brehu","FollowCapon","False","prepadeni_opatrne_nasledu_SjxO","Cautiously follow Sir Hans along the bank.","Opatrně následuj Ptáčka po břehu.","1","hibernovana_cast.smirovani.objectiveVisual3"
"M01","prepadeni","prepadeni","19","odlakej_pradlenu_hozenim_kaminku","StoneThrowing","False","prepadeni_hod_do_vody_kam_cn1i","Throw a stone to distract the girl's attention.","Odlákej pradlenu hozením kamínku.","1","hibernovana_cast.smirovani.cesta_rakosim_1.objectiveVisual2"
"M01","prepadeni","prepadeni","20","dostan_se_s_ptackem_pryc","ProgressAbortable","False","prepadeni_nasleduj_ptacka_ZyXB","Get away with Sir Hans.","Dostaň se s Ptáčkem pryč.","1","hibernovana_cast.honicka_ve_skalach.utek.ptackuv_pohyb_koridorem.objectivy.objectiveVisual2"
"M01","prepadeni","prepadeni","21","prozkoumej_vstup_do_skal","Prepadeni_findPathInRocks","False","prepadeni_prozkoujem_vstu_4qDy","Explore the entry point into the rocks. ","Prozkoumej vstup do skal.","1","hibernovana_cast.honicka_ve_skalach.utek.ptackuv_pohyb_koridorem.objectivy.objectiveVisual73"
"M01","prepadeni","prepadeni","22","prezij","Progress","False","prepadeni_prezij_1wJE","Survive!","Přežij!","1","hibernovana_cast.honicka_ve_skalach.utek.souboj_s_lapkou_na_kraji_utesu.objectiveVisual12"
"M01","prepadeni","prepadeni","23","vrat_se_za_ptackem","Prepadeni_backToPtacek","False","prepadeni_vrat_se_za_ptac_Se33","Go back to Sir Hans.","Vrať se za Ptáčkem.","1","hibernovana_cast.honicka_ve_skalach.utek.jindrich_v_bludisti.objectiveVisual55"
"M01","prepadeni","prepadeni","24","najdi_ptacka","Progress","False","prepadeni_najdi_ptacka_NiXE","Find Sir Hans.","Najdi Ptáčka.","1","hibernovana_cast.honicka_ve_skalach.utek.jindrich_v_bludisti.objectiveVisual78"
"M01","prepadeni","prepadeni","25","utikej_s_ptackem","ProgressAbortable","False","prepadeni_utikej_s_ptackem_Vlx1","Flee with Sir Hans.","Utíkej s Ptáčkem.","1","hibernovana_cast.honicka_ve_skalach.utek.jindrich_v_bludisti.objectiveVisual82"
"M01","prepadeni","prepadeni","26","pocet_zasahu_jindra","Prepadeni_hitCounts","False","prepadeni_pocet_zasahu_ji_U8Zx","Number of hits: Henry","Počet zásahů: Jindra","0",""
"M01","prepadeni","prepadeni","27","pocet_zasahu_ptacek","Prepadeni_hitCounts","False","prepadeni_pocet_zasahu_pt_GxzY","Number of hits: Sir Hans","Počet zásahů: Ptáček","0",""
"M02","zachrana","zachrana","0","zastav_krvaceni_","ProgressAbortable","False","zachrana_zastav_krvaceni__tHDn","Stop the bleeding.","Zastav krvácení. ","1","hibernace.leceni_ptacka__druhy_den.druhy_den__rano.objective_obvaz_se.objectiveVisual1371202"
"M02","zachrana","zachrana","1","najez_se","ProgressAbortable","False","zachrana_najez_se_HsJE","Eat.","Najez se.","1","hibernace.leceni_ptacka__druhy_den.druhy_den__rano.objective_najez_se.objectiveVisual13712147"
"M02","zachrana","zachrana","2","oplachni_se_u_kade","ProgressAbortable","False","zachrana_oplachni_se_u_ka_iaRb","Splash water on yourself at the tub.","Opláchni se u kádě.","1","hibernace.leceni_ptacka__druhy_den.druhy_den__rano.objective_umyj_se.objectiveVisual13712151"
"M02","zachrana","zachrana","3","ukaz_se_bozene","ProgressAbortable","False","zachrana_ukaz_se_bozene_yggm","Show yourself to Bozhena.","Ukaž se Boženě.","1","hibernace.leceni_ptacka__druhy_den.druhy_den__rano.objective_ukaz_se_bozene.objectiveVisual13712153"
"M02","zachrana","zachrana","4","marigoldGathered_visual","gatherHerbs","False","zachrana_marigoldgathered_8uZL","Pick chamomile.","Nasbírej heřmánek.","1","hibernace.leceni_ptacka__druhy_den.hledani_bylin.objectiveVisual1371205"
"M02","zachrana","zachrana","5","nettleGathered_visual","gatherHerbs","False","zachrana_nettlegathered_v_lvac","Pick sage.","Nasbírej šalvěj.","1","hibernace.leceni_ptacka__druhy_den.hledani_bylin.objectiveVisual1371204"
"M02","zachrana","zachrana","6","zakopej_mrtveho_chlapa","PohrbivaniZachrana","True","zachrana_pohrbi_mrtveho_c_lnxf","Bury the dead man.","Zakopej mrtvého chlapa.","0",""
"M02","zachrana","zachrana","7","herbTracker_visual","ProgressAbortable","False","zachrana_herbtracker_visu_ScJ5","Fetch herbs for Bozhena.","Dones byliny Boženě.","1","hibernace.leceni_ptacka__druhy_den.hledani_bylin.objectiveVisual13712161"
"M02","zachrana","zachrana","8","findOutWhatIsHappening_visual","ProgressAbortable","False","zachrana_findoutwhatishap_nyXR","Find out what's happening at Bozhena's.","Zjisti, co se děje u Boženy.","1","hibernace.leceni_ptacka__druhy_den.surprise_combat.objective__zjisti_co_se_deje.objectiveVisual1371232"
"M02","zachrana","zachrana","9","ozbroj","findWeapon","True","zachrana_priprav_si_zbran_ab90","Get hold of a weapon!","Obstarej si zbraň!","1","hibernace.leceni_ptacka__druhy_den.surprise_combat.hledani_zbrane_u_prepadeni.najdi_zbran"
"M02","zachrana","zachrana","10","ozbroj_se","findWeapon","True","zachrana_ozbroj_se_yFgN","Arm yourself!","Ozbroj se!","1","hibernace.leceni_ptacka__druhy_den.surprise_combat.hledani_zbrane_u_prepadeni.ozbroj_se"
"M02","zachrana","zachrana","11","handleSeekers_visual","dealWithSeekers","False","zachrana_handleseekers_vi_SnqW","Repel the men who've come!","Odraž příchozí chlapy!","1","hibernace.leceni_ptacka__druhy_den.surprise_combat.objective__vyres_hledace.objectiveVisual36825"
"M02","zachrana","zachrana","12","makeHealingPotion_visual","ProgressAbortable","False","zachrana_makehealingpotio_T9qF","Brew a healing potion.","Uvař léčivý odvar.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.objectiveVisual1516dd"
"M02","zachrana","zachrana","13","giveHealingPotionToHag_visual","Progress","False","zachrana_givehealingpotio_ylvH","Give Bozhena the potion.","Předej odvar Boženě.","0",""
"M02","zachrana","zachrana","14","goToSleep_visual","Progress","False","zachrana_gotosleep_visual_Hg4K","Sleep until morning.","Prospi se do rána.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.hrac_jde_spat.objectiveVisual1520"
"M02","zachrana","zachrana","15","sitDown_visual","Progress","False","zachrana_sitdown_visual_Dtkv","Join the others for breakfast.","Připoj se k ostatním na snídani.","1","hibernace.treti_den.objectiveVisual1023"
"M02","zachrana","zachrana","16","leaveArea_visual","Progress","False","zachrana_leavearea_visual_zxT3","Talk to Capon about leaving for Trosky.","Promluv s Ptáčkem o odchodu na Trosky.","1","hibernace.treti_den.objectiveVisual1024"
"M02","zachrana","zachrana","17","zakopej_hrdloreza_mikese","PohrbivaniZachrana","True","zachrana_pohrbi_mrtveho_u_rqtf","Bury Mikesh the cut-throat.","Zakopej hrdlořeza Mikeše.","0",""
"M02","zachrana","zachrana","18","zakopej_lotra_kozlika","PohrbivaniZachrana","True","zachrana_pohrbi_mrtve_uto_rCdW","Bury the ruffian Kozliek.","Zakopej lotra Kozlíka.","0",""
"M02","zachrana","zachrana","19","podivej_se_do_knihy","Progress","False","zachrana_podivej_se_do_kn_syrY","Look in the book.","Podívej se do knihy.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.zacatek__prechod_ke_knize.objectiveVisual4"
"M02","zachrana","zachrana","20","precti_si_recept_a_pak_se_vrat_ke_stolu","Progress","False","zachrana_precti_si_recept_i8mR","Read the recipe and return to the bench.","Přečti si recept a pak se vrať ke stolu.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.zacatek__cteni_knihy.objectiveVisual4"
"M02","zachrana","zachrana","21","nalij_spravny_zaklad_do_kotliku","Progress","False","zachrana_nalij_spravny_za_aJzV","Pour the correct base into the cauldron.","Nalij správný základ do kotlíku.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.naliti_zakladu.objectiveVisual6"
"M02","zachrana","zachrana","22","posun_kotlik_dolu","Progress","False","zachrana_posun_kotlik_dolu_qWBd","Move the cauldron down.","Posuň kotlík dolů.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.posunuti_kotliku.objectiveVisual8"
"M02","zachrana","zachrana","23","dostan_koltik_do_varu","Progress","False","zachrana_dostan_koltik_do_tx6r","Let the cauldron boil.","Dostaň koltík do varu.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.vreni_kotliku.objectiveVisual10"
"M02","zachrana","zachrana","24","posun_kotlik_nahoru","Progress","False","zachrana_posun_kotlik_nah_XP1o","Move the cauldron up.","Posuň kotlík nahoru.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.posunuti_kotliku_nahoru.objectiveVisual12"
"M02","zachrana","zachrana","25","otevri_inventar","Progress","False","zachrana_otevri_inventar_2LQF","Open your inventory.","Otevři inventář.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.otevreni_inventare.objectiveVisual14"
"M02","zachrana","zachrana","26","nachystej_si_bylinky","Progress","False","zachrana_nachystej_si_byl_rOJ4","Prepare the herbs.","Nachystej si bylinky.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.nachystani_bylinek.objectiveVisual14"
"M02","zachrana","zachrana","27","vhod_2_hrsti_hermanku_do_kotliku","Progress","False","zachrana_vhod_2_hrsti_her_pDFx","Toss in two handfuls of chamomile.","Vhoď 2 hrsti heřmánku do kotlíku.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.n2_hrsti_hermanku.objectiveVisual16"
"M02","zachrana","zachrana","28","otoc_hodiny","Progress","False","zachrana_otoc_hodiny_xhNI","Turn the sandglass over.","Otoč hodiny.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.otoceni_hodin.objectiveVisual18"
"M02","zachrana","zachrana","29","povar_hermanek_1_otocku","Progress","False","zachrana_povar_hermanek_1_hEwt","Brew the chamomile for one turn of the sandglass.","Povař heřmánek 1 otočku.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.povareni_he_jednu_otocku.objectiveVisual19"
"M02","zachrana","zachrana","30","posu","Progress","False","zachrana_posu_nXCc","Move the cauldron up.","Posuň kotlík nahoru.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.sundej_kotlik_z_ohne.objectiveVisual21"
"M02","zachrana","zachrana","31","podrt_hrst_salveje","Progress","False","zachrana_podrt_hrst_salve_SF4t","Grind a handful of sage.","Podrť hrst šalvěje.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.podrceni_salveje.objectiveVisual23"
"M02","zachrana","zachrana","32","vhod_podrcenou_salvej_do_kotliku","Progress","False","zachrana_vhod_podrcenou_s_Lspa","Toss the ground sage into the cauldron.","Vhoď podrcenou šalvej do kotlíku.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.vhozeni_salveje_do_kotliku_.objectiveVisual26"
"M02","zachrana","zachrana","33","slij_lektvar","Progress","False","zachrana_slij_lektvar_aKsb","Pour out the remedy.","Slij lektvar.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.alchemy_tutorial.dokonceni_lektvau.objectiveVisual28"
"M02","zachrana","zachrana","34","seber_ryc","ProgressAbortable","True","zachrana_seber_ryc_XJWH","Take the spade.","Seber rýč.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.zvedniRyc"
"M02","zachrana","zachrana","35","zvedni_mrtolu","ProgressAbortable","True","zachrana_zvedni_mrvtolu_HhgY","Pick up the corpse.","Zvedni mrtvolu.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.zvedniMrtvolu"
"M02","zachrana","zachrana","36","dones_mrtvolu_k_potoku","ProgressAbortable","True","zachrana_dones_mrtvolu_k__HHrQ","Carry the corpse to the stream.","Dones mrtvolu k potoku.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual152024591"
"M02","zachrana","zachrana","37","vykopej_hrob","ProgressAbortable","True","zachrana_vykopej_hrob_Oox0","Dig a grave.","Vykopej hrob.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual152024592"
"M02","zachrana","zachrana","38","poloz_mrtvolu_do_blizkosti_hrobu","ProgressAbortable","True","zachrana_poloz_mrtvolu_do_Rp0P","Put the corpse in the grave.","Polož mrtvolu do blízkosti hrobu.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual152024590"
"M02","zachrana","zachrana","39","zakopej_mrtvolu","ProgressAbortable","True","zachrana_zakopej_mrtvolu_6ff6","Cover the corpse with earth.","Zakopej mrtvolu.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual152024595"
"M02","zachrana","zachrana","40","zvedni_mikese","ProgressAbortable","True","zachrana_zvedni_mikese_fmpC","Pick up Mikesh.","Zvedni Mikeše.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual5"
"M02","zachrana","zachrana","41","dones_mikese_k_potoku","ProgressAbortable","True","zachrana_dones_mikese_k_p_SszT","Carry Mikesh to the stream.","Dones Mikeše k potoku.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual7"
"M02","zachrana","zachrana","42","vykopej_hrob_mikes","ProgressAbortable","True","zachrana_vykopej_hrob_mik_G4OV","Dig a grave.","Vykopej hrob.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual11"
"M02","zachrana","zachrana","43","zakopej_mikese","ProgressAbortable","True","zachrana_zakopej_mikese__6QtU","Cover Mikesh with earth.","Zakopej Mikeše.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual13"
"M02","zachrana","zachrana","44","dones_kozlika_k_potoku","ProgressAbortable","True","zachrana_dones_kozlika_k__shzM","Carry Kozliek to the stream.","Dones Kozlíka k potoku.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual8"
"M02","zachrana","zachrana","45","zvedni_kozlika","ProgressAbortable","True","zachrana_zvedni_kozlika_zWll","Pick up Kozliek.","Zvedni Kozlíka.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual6"
"M02","zachrana","zachrana","46","vykopej_hrob_kozlik","ProgressAbortable","True","zachrana_vykopej_hrob_koz_FrT6","Dig a grave.","Vykopej hrob.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual12"
"M02","zachrana","zachrana","47","zakopej_kozlika","ProgressAbortable","True","zachrana_zakopej_kozlika__lJRT","Cover Kozliek with earth.","Zakopej Kozlíka.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual14"
"M02","zachrana","zachrana","48","poloz_kozlika_do_blizkosti_hrobu","ProgressAbortable","True","zachrana_poloz_kozlika_do_siwO","Put Kozliek down near the grave.","Polož Kozlíka do blízkosti hrobu.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual10"
"M02","zachrana","zachrana","49","poloz_mikese_do_blizkosti_hrobu","ProgressAbortable","True","zachrana_poloz_mikese_do__MGnC","Put Mikesh down near to the grave.","Polož Mikeše do blízkosti hrobu.","1","hibernace.leceni_ptacka__druhy_den.uklizeni_mrtvolek.pohrbivani.objectiveVisual9"
"M02","zachrana","zachrana","50","zkontroluj_bozenu","Progress","False","zachrana_promluv_si_s_boz_c97j","Check on Bozhena.","Zkontroluj Boženu.","1","hibernace.leceni_ptacka__druhy_den.alchemy_tutorial.objectiveVisual152024569"
"M02","zachrana","zachrana","51","log","ExtraLog","False","zachrana_log_6DiG","Log","Log","1","hibernace.leceni_ptacka__druhy_den.surprise_combat.objective__vyres_hledace.objectiveVisual1371236"
"M03","socky","socky","0","zjisti_jak_se_dostat_k_bergovovi","Progress","False","socky_zjisti_jak_se_dosta_DM3k","Find out how to get to von Bergow.","Zjisti, jak se dostat k Bergovovi.","1","hibernable.v_hospode.objectiveVisual36"
"M03","socky","socky","1","umyj_se_u_kade","Progress","False","socky_umyj_se_u_kade_nwAq","Wash at the trough.","Umyj se u kádě.","1","hibernable.v_hospode.s_katerinou.dialogy_a_chovani.umyj_se.objectiveVisual5"
"M03","socky","socky","2","promluv_si_s_zenou_od_rybnika","Progress","False","socky_promluv_si_s_zenou__zNZc","Talk to the woman from the pond.","Promluv si s ženou od rybníka.","1","hibernable.v_hospode.s_katerinou.objectiveVisual6"
"M03","socky","socky","3","zjisti_vic_o_seminove_svatbe","Progress","True","socky_zjisti_vic_o_semino_9kOO","Find out more about the Semine wedding.","Zjisti víc o Semínově svatbě.","1","hibernable.v_hospode.objectiveVisual40"
"M03","socky","socky","4","rekni_ptackovi_o_praci","Progress","False","socky_rekni_ptackovi_o_pr_ebpz","Tell Capon about getting work.","Řekni Ptáčkovi o práci.","1","hibernable.v_hospode.objectiveVisual38"
"M03","socky","socky","5","nos_pytle_05","SackCarrying","False","socky_nos_pytle__05_cQkk","Carry the sacks to the pantry.","Odnos pytle do spíže.","1","hibernable.v_hospode.pytle_a_hadka.objectiveVisual43"
"M03","socky","socky","6","vrat_se_za_ptackem","Progress","False","socky_vrat_se_za_ptackem_tMUM","Go back to Capon.","Vrať se za Ptáčkem.","1","hibernable.v_hospode.pytle_a_hadka.objectiveVisual15"
"M03","socky","socky","7","bran_ptacka","Progress","False","socky_bran_ptacka_gpyl","Defend Capon!","Braň Ptáčka!","1","hibernable.v_hospode.hospodska_bitka.objectiveVisual2"
"M05","svatba","svatba","0","najdi_cestu_na_svatbu","FindWayToWedding","False","svatba_najdi_cestu_na_sva_rqnV","Find a way to get into the wedding party.","Najdi cestu na svatbu","1","pred_svatbou.objectiveVisual17"
"M05","svatba","svatba","1","dostan_se_na_svatbu_za_pomoci_kovare","BlacksmithLine","True","svatba_dostan_se_na_svatb_ifDu","Get into the wedding party with the help of the blacksmith Radovan.","Dostaň se na svatbu za pomoci kováře Radovana.","1","pred_svatbou.objectiveVisual3"
"M05","svatba","svatba","2","dostan_se_na_svatbu_za_pomoci_mlynare","MillerLine","True","svatba_dostan_se_na_svatb_LqJ2","Gain access to the wedding party with the help of the miller Kreyzl.","Dostaň se na svatbu za pomoci mlynáře Krejzla.","1","pred_svatbou.objectiveVisual4"
"M05","svatba","svatba","3","pockej_na_bergova","WaitForBergov","False","svatba_pockej_na_bergova_6p25","Wait for von Bergow.","Počkej na Bergova.","1","hibernovana_cast.faze__objectiv_a_logy.objectiveVisual6"
"M05","svatba","svatba","4","promluv_si_s_rychtarovym_synem","ProgressAbortable","False","svatba_promluv_si_s_rycht_YsXs","Talk to Svatya.","Promluv si s Sváťou.","1","hibernovana_cast.baleni_holky.zadani_s_rychtarovym_synem.objectiveVisual7"
"M05","svatba","svatba","5","sbal_holku","HitOnTheGirl","False","svatba_sbal_holku_0Dtr","Chat up Myshka.","Sbal Myšku.","1","hibernovana_cast.baleni_holky.oslnovani_kucharciny_dcery.objectiveVisual8"
"M05","svatba","svatba","6","poraz_urazeneho_protivnika","WinFight","False","svatba_poraz_urazeneho_pr_3Qwm","Defeat Vuytek.","Poraž Vůtjka.","1","hibernovana_cast.baleni_holky.souboj_o_mysku.objectiveVisual9"
"M05","svatba","svatba","7","promluv_si_s_myskou_o_samote","SpeakWithTheGirl","False","svatba_promluv_si_s_divko_VFTY","Talk to Myshka in private.","Promluv si s Myškou o samotě.","1","hibernovana_cast.baleni_holky.s_myskou_o_samote.objectiveVisual10"
"M05","svatba","svatba","8","promluv_si_s_rychtarovym_synem_znovu","ProgressAbortable","False","svatba_promluv_si_s_rycht_JOKh","Return to Svatya.","Vrať se za Sváťou.","1","hibernovana_cast.baleni_holky.zaver.objectiveVisual11"
"M05","svatba","svatba","9","promluv_si_s_panem_seminem","ProgressAbortable","False","svatba_promluv_si_s_panem_n3Ie","Talk to Lord Semine.","Promluv si s panem Semínem.","1","hibernovana_cast.se_starym_seminem.objectiveVisual2"
"M05","svatba","svatba","10","promluv_si_s_moravaky","SpeakWithMoravians","False","svatba_promluv_si_s_morav_ufob","Talk to the Moravians.","Promluv si s Moraváky.","1","hibernovana_cast.moravaci_a_chlast.zadani_s_moravaky.objectiveVisual5"
"M05","svatba","svatba","11","sezen_piti_pro_moravaky","GetTheBooze","False","svatba_sezen_piti_pro_mor_5gRH","Get drinks for the Moravians.","Sežeň pití pro Moraváky.","1","hibernovana_cast.moravaci_a_chlast.shaneni_chlastu.objectiveVisual14"
"M05","svatba","svatba","12","promluv_si_se_straznym_u_brany","SpeakWithGuardAtGate","False","svatba_promluv_si_se_stra_y2LN","Talk to the guard at the gate.","Promluv si se strážným u brány.","1","hibernovana_cast.chudina.zadani_se_straznym.objectiveVisual6"
"M05","svatba","svatba","13","sezen_jidlo_pro_chude","GetFoodForPoor","False","svatba_sezen_jidlo_pro_ch_r8Qv","Get some food for the poor.","Sežen jídlo pro chudé.","1","hibernovana_cast.chudina.shaneni_jidla.objectiveVisual6"
"M05","svatba","svatba","14","posbirej_jidlo_ze_stolu","WeddingFood","True","svatba_posbirej_jildo_ze__4rSe","Collect food at the wedding.","Posbírej jídlo na svatbě.","1","hibernovana_cast.chudina.shaneni_jidla.objectiveVisual3"
"M05","svatba","svatba","15","najdi_mec_pro_seminova_syna","LostSword","False","svatba_najdi_mec_pro_semi_5Ztk","Find the sword for Lord Semine's son.","Najdi meč pro Semínova syna.","1","hibernovana_cast.ztraceny_mec_a_konkubina.ztraceny_mec.objectiveVisual6"
"M05","svatba","svatba","16","dones_mec_kovari","ProgressAbortable","False","svatba_dones_mec_kovari_27hq","Bring the sword to the blacksmith Radovan.","Dones meč kováři Radovanovi.","1","hibernovana_cast.ztraceny_mec_a_konkubina.ztraceny_mec.objectiveVisual9"
"M05","svatba","svatba","17","najdi_konkubinu","LostConcubine","False","svatba_najdi_konkubinu_JXD3","Find the concubine.","Najdi konkubínu.","1","hibernovana_cast.ztraceny_mec_a_konkubina.ztracena_konkubina.objectiveVisual3"
"M05","svatba","svatba","18","vrat_se_za_komorim","ProgressAbortable","False","svatba_vrat_se_za_komorim_I4Ot","Return to the Chamberlain.","Vrať se za komořím.","1","hibernovana_cast.ztraceny_mec_a_konkubina.ztracena_konkubina.objectiveVisual4"
